STUDENT_ID	CURRENT_SCHOOL	LAST_NAME	FIRST_NAME	MIDDLE_NAME	DATE_OF_BIRTH	GENDER_CODE	GRADE_LEVEL
122788	INACT	Applegate	Jennifer		04/28/1989	F	12
1010250	4011	Behney	Mel	D	12/26/1997	F	05
1004442	2002	Bard	Josh	MARIE	12/08/1993	F	09
1009948	2002	Babcock	Bob	LEONEL	03/23/1998	M	09
1004239	INACT	Altrock	Nick	C	01/05/1993	M	09
1010210	2002	Beamon	Charlie		08/30/1995	M	09
1010395	2002	Bishop	Jim	MEHGAN	06/07/1994	F	09
1000601	2002	Stieb	Dave	KIERAN	09/07/1991	F	10
1004950	2002	Blanco	Ossie		03/04/1993	M	09
1010236	2002	Becker	Heinz	M	06/04/1989	F	12
1013795	2002	Somers	Kyle	 	02/20/2000	M	10
1004447	2002	Barkett	Andy	GIOVANNI	08/03/1993	M	09
1013782	4012	Somers	Samantha		08/01/2007	F	03
1003550	2002	Bezdek	Hugo	GUADALUPE	10/06/1993	F	09
1003494	2002	Bertoia	Reno	ANN	10/09/1993	F	09
1005003	2002	Bluege	Ossie	DANE	08/12/1993	F	09
1004894	INACT	Bishop	Charlie		01/30/1993	F	09
1004876	2002	Billings	Dick	ALEJANDRO	05/23/1994	F	09
1003497	2002	Bertotti	Mike	JOHN	03/12/1994	F	09
1013607	2002	Barber	Brian	ALEXANDER	04/24/1992	M	09
1009923	4011	Daily	Kevin	M	02/19/1998	F	05
1005004	2002	Bluege	Otto	JANESSA	04/12/1993	M	09
1013341	2002	Baumann	Frank		10/16/1992	F	09
1004221	2002	Allison	Dana	J	02/03/1994	M	09
1003662	2002	Barry	Jeff	DIEGO	04/28/1994	F	09
1004863	2002	Bilardello	Dann	DIANNE	10/15/1994	F	09
1005033	2002	Boehmer	Len	ALEXIS	02/17/1993	M	09
1004908	2002	Black	Bud	A	11/18/1994	F	09
105816	2002	Camnitz	Harry		09/14/1991	F	10
1004462	2002	Barnes	Larry	MARIGHEILA ROSE	08/29/1994	F	09
1010712	INACT	Brazill	Frank	F.	03/17/1988	F	12
1004625	2002	Behenna	Rick		06/02/1993	F	09
1004952	2002	Blanding	Fred	ESTELLE	04/16/1994	M	09
1005015	2002	Boardman	Frederick	M	07/13/1993	M	09
1004313	2002	Arrigo	Gerry		08/20/1993	F	09
105731	2002	Bruton	Bill	ALMA	04/26/1989	F	12
1004174	2002	Afenir	Troy	THERESE	11/20/1992	F	09
1004931	2002	Blair	Bill	MARIE	08/26/1994	F	09
1004985	2002	Bligh	Ned		12/25/1993	M	09
1010031	2002	Barber	Brian	RENEE	04/26/1993	F	09
